관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자
경기도 가평군청,,경기도 가평군 청평면 삼회리 202-3(삼회1리마을회관),생활방범,2,200,도로방면,30,2018-11,031-580-2571,37.69644471,127.3917665,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 삼회리 475-16(삼회2리마을회관),생활방범,1,200,도로방면,30,2018-11,031-580-2571,37.69644471,127.3917665,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 삼회리 617-5(가일미술관 앞),차량방범,2,150,도로방면,30,2010-06,031-580-2571,37.65799072,127.3785947,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 삼회리 617-5(가일미술관앞),생활방범,1,200,도로방면,30,2016-07,031-580-2571,37.65799072,127.3785947,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 삼회리 산 4-1(신 청평대교),생활방범,1,200,도로방면,30,2016-12,031-580-2571,37.7185472,127.4106227,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 삼회리 산 85-10(야밀고개(정상)),재난재해,1,200,360도전방면,30,,031-580-2141,37.65273925,127.3824895,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 삼회리 산4-1(신청평대교),차량방범,2,200,도로방면,30,2016-06,031-580-2571,37.7185472,127.4106227,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 상천리 1293-3(상천역),생활방범,3,200,도로방면,30,2016-06,031-580-2571,37.77080863,127.4527286,2021-06-28
경기도 가평군청,경기도 가평군 청평면 상천역로19번길 38,경기도 가평군 청평면 상천리 1299-4번지,어린이보호,3,300,"초등학교정문방향, 360도전방면",30,2013-06,031-580-2571,37.77003188,127.4560709,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 상천리 1354-4(상천리경로당(마을회관)),생활방범,3,200,도로방면,30,2013-08,031-580-2571,37.76939382,127.4588129,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 상천리 1523-2(호명산주차장),생활방범,2,200,도로방면,30,2018-11,031-580-2571,37.76131015,127.4838037,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 상천리 1737-4(평원산업),생활방범,2,200,도로방면,30,2018-06,031-580-2571,37.77385327,127.4610842,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 상천리 1761-22(상지로 갈림길),생활방범,2,200,도로방면,30,2018-12,031-580-2571,37.77015959,127.4583724,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 상천리 239-1(봉녀수제비교차로),생활방범,3,200,도로방면,30,2018-06,031-580-2571,37.780315,127.464855,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 청평리 128-8(청평역2번출구),생활방범,3,200,도로방면,30,2018-11,031-580-2571,37.73401902,127.4250627,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 청평리 164-5(청평4·6리 자율방범대본부),생활방범,3,200,도로방면,30,2017-06,031-580-2571,37.73753679,127.4313336,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 청평리 195-5(구역사 앞),쓰레기단속,1,200,360도전방면,30,2015-07,031-580-2550,37.7373027,127.4271423,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 청평리 319-1(청평면사무소입구),생활방범,2,200,도로방면,30,2016-12,031-580-2571,37.74190189,127.4240088,2021-06-28
경기도 가평군청,,경기도 가평군 청평면 청평리 319-117(청평유송빌라),생활방범,4,200,도로방면,30,2016-07,031-580-2571,37.7388492,127.4231986,2021-06-28
